fitValue/0/value/intVal,originDataSourceId,endTimeNanos,dataTypeName,startTimeNanos,modifiedTimeMillis,rawTimestampNanos
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57447E+18,com.google.sleep.segment,1.57446E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57447E+18,com.google.sleep.segment,1.57447E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57453E+18,com.google.sleep.segment,1.57453E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57454E+18,com.google.sleep.segment,1.57454E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57454E+18,com.google.sleep.segment,1.57454E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57455E+18,com.google.sleep.segment,1.57454E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57455E+18,com.google.sleep.segment,1.57455E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57455E+18,com.google.sleep.segment,1.57455E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57456E+18,com.google.sleep.segment,1.57455E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57457E+18,com.google.sleep.segment,1.57456E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5746E+18,com.google.sleep.segment,1.5746E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5746E+18,com.google.sleep.segment,1.5746E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5746E+18,com.google.sleep.segment,1.5746E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57461E+18,com.google.sleep.segment,1.57461E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57461E+18,com.google.sleep.segment,1.57461E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57461E+18,com.google.sleep.segment,1.57461E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57462E+18,com.google.sleep.segment,1.57461E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57466E+18,com.google.sleep.segment,1.57466E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57467E+18,com.google.sleep.segment,1.57466E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57467E+18,com.google.sleep.segment,1.57467E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57468E+18,com.google.sleep.segment,1.57468E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57468E+18,com.google.sleep.segment,1.57468E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57469E+18,com.google.sleep.segment,1.57468E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57469E+18,com.google.sleep.segment,1.57469E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57469E+18,com.google.sleep.segment,1.57469E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5747E+18,com.google.sleep.segment,1.57469E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57476E+18,com.google.sleep.segment,1.57476E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57476E+18,com.google.sleep.segment,1.57476E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57477E+18,com.google.sleep.segment,1.57477E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57477E+18,com.google.sleep.segment,1.57477E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57478E+18,com.google.sleep.segment,1.57477E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57478E+18,com.google.sleep.segment,1.57478E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57478E+18,com.google.sleep.segment,1.57478E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57478E+18,com.google.sleep.segment,1.57478E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57486E+18,com.google.sleep.segment,1.57484E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57487E+18,com.google.sleep.segment,1.57487E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57487E+18,com.google.sleep.segment,1.57487E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57487E+18,com.google.sleep.segment,1.57487E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57492E+18,com.google.sleep.segment,1.57492E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57492E+18,com.google.sleep.segment,1.57492E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57492E+18,com.google.sleep.segment,1.57492E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57494E+18,com.google.sleep.segment,1.57493E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57494E+18,com.google.sleep.segment,1.57494E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57495E+18,com.google.sleep.segment,1.57494E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57496E+18,com.google.sleep.segment,1.57496E+18,1.60686E+12,0
